0	119.8   0.2   0.5   
2	162.1   0.2   1
4	203.8   0.2   1.5
6	245.3   0.2   2
10	326.2   0.2   2.5
13.2	387.4   0.2   3
16.4	448.6   0.2   3.5
19.6	509.7   0.2   4
12.8	370.9   0.2   4.5
38.4	880.6   0.2   1
