-6.2	119.5 0.2 0.5 
-2.2	201.1 0.2 0.5
3	301.3 0.2 1
9.2	421.7 0.2 1.5
14.2	523.9 0.2 2
15.8	545.2 0.2 2.5
16.8	566.4 0.2 3
17.8	587.7 0.2 3.5
-5.2	142.2 0.2 1
-4.2	163.5 0.2 1.5
-3.2	184.8 0.2 2
-2	206.1 0.2 2.5
-1.2	222.4 0.2 1
-0.2	243.7 0.2 1.5
1.2	265 0.2 2
2.4	286.3 0.2 2.5
4.2	322.6 0.2 3
5.4	343.9 0.2 3.5
6.6	365.2 0.2 2
7.6	386.9 0.2 2.5
